Sentence
1. Khalnayak gachyal jungle madhye god gondhal karun zop ghetoy.
"44. Zindabaad mhanayche aahe, khup aanand aahe."
"45. Takrar karu naye, shant raha."
"46. Tandurust aahe, vyayam karato."
"47. Tayar aahe, navin kaam suru karayche."
"48. Tarksangat bolat aahe, kharach nahi."
"49. Tallakh aahe, abhyas karaycha aahe."
"50. Titkara vatte, kharab goshti aikat aahet."
"1. Udas din, nirasha vatte aahe."
"2. Utkrushta karya, abhinandan karayche aahet."
"3. Uttam vastr, khup kimmat aahet."
"4. Utsaha aahe, notke kaam purn hoil."
"5. Upkar kela, dhanyawad denar aahe."
"6. Urja aahe, kaam karayla shakti aahe."
"7. Ekta aahe, jeet nischit aahe."
"8. Aakarshak vyaktimatva, lokanna aavadte."
"9. Aajari aahe, visranti ghenar aahe."
"10. Aathank aahe, bhiti vatte aahe."
"11. Aadarnuya vyakti, sanman karaycha aahe."
"12. Aanand aahe, khushkhabar milali."
"13. Aapteshta aahe, madat kartil."
"14. Aarop aahe, nyay milala pahije."
"15. Avismarniya sohala, khup maja aali."
"16. Kauchlya aahet, nipun aahe."
"17. Karkash bolne, dukha vatte."
"18. Kalpak yug, sarv sukhi hote."
"19. Kushal aahe, tandurust aahe."
"20. Krudh aahe, shant raha."
"21. God bhagya, changla jhala."
"22. Gorapan kart aahe, asabhya vatate."
"23. Ghanta vajla, suru karayche aahe."
"24. Ghat sthali, khatarnak aahe."
"25. Chugli karu naye, kharab aahe."
"26. Chestha karun paha, jeet milal."
"27. Jungle safari, maja aali."
"28. Jahar aahe, dur raha."
"29. Jahir karayche aahe, sarvanna kalave lagel."
"30. Jindagi khup sundar aahe, anand ghe."
"31. Jiddi aahe, manane kathin."
"32. Jimmedar aahe, kaam purn karel."
"33. Jivhala aahe, jevan khau shakto."
"34. Jeernoddhar karaycha aahe, juna ghar navin karayche."
"35. Jokhim aahe, savdhan raha."
"36. Josh aahe, kaam karayla tayar aahe."
"37. Jyeshtha aahe, sanman karaycha aahe."
"38. Zagmag diste aahe, chamakdar aahe."
"39. Zal zal mhan, pashchattap karu naye."
"40. Zikzik aahe, swachata pahije."
"41. Takkar jhali, ghav zala."
"42. Tantanit aahe, savdhan raha."
"43. Tikau aahe, himmat aahe."
"44. Tumdaar aahe, garva aahe."
45. Tekdi varun sundar diste.
"46. Tham aahe, aaram kar."
"47. Thik aahe, chinta karu naye."
"48. Dauldaar aahe, bhavya diste."
"49. Dhabdaar aahe, khup vajan aahe."
"50. Taktaki aahe, tez aahe."
"1. Takrar zali, napasanti zali."
"2. Tagmag kartoy, bhiti vatte."
"3. Tajeldaar aahe, netka aahe."
"4. Tatastha raha, vait vatnaar nahi."
"5. Tanta zali, gondhal zala."
"6. Tadakha aahe, bhiti vatte."
"7. Tadipaar zala, dur gela."
"8. Tanaav aahe, shant raha."
"9. Tarbez aahe, shikshan milel."
"10. Tarkvisangat aahe, yukti lav."
"11. Tallakh aahe, abhyas kar."
"12. Taltalat aahe, dukha vatte."
"13. Takadwan aahe, shakti aahe."
14. Taajatawana bharava lagel.
"15. Taala lavla, surakshit aahe."
"16. Titkara vatte, dukhache aahe."
"17. Tidha bol, spasht bol."
"18. Tiraskar zala, napasanti zali."
"19. Tuchha vatate, apman zala."
"20. Tutvada aahe, najuk aahe."
"21. Tulana karu naye, saman nahi aahet."
"22. Trupt aahe, santosh aahe."
"23. Tejaswi aahe, chamakdar aahe."
"24. Teji aahe, tez aahe."
"25. Tedh aahe, vichitr aahe."
"26. Tokda aahe, kami aahe."
"27. Tota aahe, nuksaan zale."
"28. Todkimodki aahe, gammat aahe."
"29. Todga aahe, himmat aahe."
"30. Totaya mana, apman karu naye."
"31. Tora aahe, thoda aahe."
"32. Trast aahe, chinta aahe."
"33. Trass aahe, pareshan aahe."
"34. Tvesh aahe, veg aahe."
"35. Thakk aahe, visranti ghe."
"36. Thatta aahe, maja aahe."
"37. Thand aahe, swetar ghal."
"38. Thoda aahe, purna nahi."
"39. Thor aahe, motha aahe."
"40. Daga aahe, chinta aahe."
"41. Dabav aahe, kathin aahe."
"42. Damdaar aahe, shakti aahe."
"43. Daya aahe, madat kar."
"44. Darjedaar aahe, mahiti aahe."
"45. Daaridrya aahe, garib aahe."
"46. Daarun aahe, ghor aahe."
"47. Diggaj aahe, mahan aahe."
"48. Dimaakhdaar aahe, buddhiman aahe."
"49. Dilkhechak aahe, sundar aahe."
"50. Dilasa aahe, bhiti nahi."
"51. Diwalkhor aahe, paisa denar nahi."
"52. Diwali aahe, faral khauya."
"53. Divya aahe, pavitra aahe."
"54. Deen aahe, garib aahe."
"55. Diptimaan aahe, tejaswi aahe."
"56. Dukkha aahe, udas aahe."
"57. Duyyam aahe, vait aahe."
"58. Duragrah aahe, mananar nahi."
"59. Duracharan aahe, vait aahe."
"60. Durupyog aahe, chukicha aahe."
"61. Durust aahe, thik aahe."
"62. Durgandhi aahe, aswacha aahe."
"63. Durgun aahe, vait aahe."
"64. Durghatana zali, chinta aahe."
"65. Durdasha aahe, vait sthiti aahe."
"66. Durdaiv aahe, nashib vait aahe."
"67. Durbal aahe, takadwan nahi."
"68. Durbhagya aahe, nashib vait aahe."
"69. Dushkarma aahe, paap aahe."
"70. Dushkal aahe, pani nahi."
"71. Dushkrutya aahe, vait kaam aahe."
"72. Dusht aahe, khalnayak aahe."
"73. Dushparinaam aahe, vait zale."
"74. Dushit aahe, swach nahi."
"75. Drudh aahe, pakka aahe."
"76. Drusht aahe, vait aahe."
"77. Dekhana aahe, pahayche aahe."
"78. Dedipyamaan aahe, prashansa karaychi aahe."
"79. Daiv aahe, bhagwan aahe."
"80. Dosh aahe, chuk aahe."
"81. Dvesh aahe, prem nahi."
"82. Dhawaan aahe, veg aahe."
"83. Dhanyawad aahe, abhari aahe."
"84. Dharma aahe, changle kaam kara."
"85. Dhashtapushta aahe, sampurn aahe."
"86. Dhasmusla aahe, todga aahe."
"87. Dhakdhuk aahe, ghabrat aahe."
"88. Dhadas aahe, himmat aahe."
"89. Dhudgus aahe, gondhal aahe."
"90. Dhundi aahe, shodhat aahe."
"91. Dhumakul aahe, kharach kharch aahe."
"92. Dhumdhadaka aahe, chamatkar aahe."
"93. Dhairya aahe, himmat aahe."
"94. Dhokadayak aahe, sankat aahe."
"95. Dhyas aahe, laks aahe."
"96. Dhvansa aahe, vinash aahe."
"97. Nakli aahe, khara nahi."
"98. Nakar aahe, nako mhantoy."
"99. Nakhra aahe, natak kartoy."
"100. Najraana aahe, bhet aahe."
1. Nattapatta shodhatoy ka? Mahiti dya.
"2. Nafa zala, khush aahe."
"3. Namaskar, kasa aahat?"
"4. Namra vinee, maf kara."
"5. Narak aahe he, khup vait."
"6. Naval aahe, tarun aahe."
"7. Nasha karu naye, hanikarak aahe."
"8. Nashib changle aahe, jeet milali."
"9. Nashta zala, nuksaan zale."
10. Naxalwad thambavayla pahije.
"11. Nakhush aahe, kahi changle nahi."
"12. Nagrik hakk, sarvanna milale pahije."
"13. Nachakki aahe, pareshani aahe."
"14. Najuk aahe, savdhan raha."
"15. Nadurust aahe, thik nahi."
"16. Napaak aahe, vait aahe."
"17. Napaas zala, abhyas kar."
"18. Namvant aahe, lokpriya aahe."
"19. Namankit aahe, prasiddh aahe."
"20. Namushki aahe, laj vatte."
"21. Naraaj aahe, bolat nahi."
"22. Nalaayak aahe, kaam karayla lavu naye."
"23. Navajale aahe, notke banvle aahe."
"24. Navinyapurn aahe, adyavat aahe."
"25. Naash karu naye, hanikarak aahe."
"26. Naaska aahe, shodhat aahe."
"27. Nikrushta aahe, khup vait."
"28. Ninda karu naye, vait aahe."
"29. Nipaksha raha, nyay de."
"30. Nipun aahe, kaushalya aahet."
"31. Nirutsah aahe, himmat de."
"32. Nirogi aahe, tandurust aahe."
"33. Nirgun aahe, kaushal nahi."
"34. Nirghrun aahe, krur aahe."
"35. Nirday aahe, daya nahi."
"36. Nirdosh aahe, chukichi nahi."
"37. Nivaant aahe, shant aahe."
"38. Nishkalji aahe, chinta nahi."
"39. Nishtha aahe, prem aahe."
"40. Nishnat aahe, nipun aahe."
"41. Nishpaksha aahe, nyay de."
"42. Nishfal aahe, kaam zale nahi."
"43. Nisarga sundar aahe, prem kar."
"44. Nistej aahe, urja nahi."
"45. Neech aahe, vait aahe."
"46. Nit aahe, roj aahe."
"47. Nitimaan aahe, satya bolto."
"48. Nuksaan zale, paisa gele."
"49. Nutan aahe, nava aahe."
"50. Netka aahe, spasht aahe."
"51. Naipunya aahe, kaushalya aahet."
"52. Nyay milala pahije, hakk aahe."
"53. Pakka aahe, nischit aahe."
"54. Paddhatshir aahe, nehmi aahe."
"55. Parampujya aahe, sanman kar."
"56. Parvanagi aahe, madat kartoy."
"57. Parakram aahe, himmat aahe."
"58. Parajay zala, himmat haru naye."
"59. Paripakva aahe, tayar aahe."
"60. Paristhiti vait aahe, kahi tari kar."
"61. Pareshan aahe, madat kar."
"62. Paropkar kar, dusryana madat kar."
"63. Parvani aahe, anand ghe."
"64. Pallavit aahe, vagte aahe."
"65. Pavitra aahe, shuddh aahe."
"66. Pashchattap aahe, chuk keli."
"67. Pasanti aahe, sukhad aahe."
"68. Pathimba aahe, photo aahe."
"69. Paap karu naye, vait aahe."
"70. Paaritoshik milel, changla kaam kela."
"71. Peeda aahe, dukha aahe."
"72. Pudhakar aahe, neta aahe."
"73. Punya aahe, changle kaam kar."
"74. Puraskar milel, jeet aahe."
"75. Purana aahe, juna aahe."
"76. Pushkal aahe, khup aahe."
"77. Pech aahe, samasya aahe."
"78. Prakash aahe, ujad nahi."
"79. Prakhyat aahe, prasiddh aahe."
"80. Pragat aahe, disat aahe."
"81. Prachand aahe, tez aahe."
"82. Pratikul aahe, vait aahe."
"83. Pratibhashali aahe, buddhiman aahe."
"84. Pratishtha aahe, maan aahe."
"85. Prabhutva aahe, sarkar aahe."
"86. Pramukh aahe, mahatvache aahe."
"87. Pravin aahe, nipun aahe."
"88. Prashansa aahe, stuti aahe."
"89. Prasanna aahe, khush aahe."
"90. Prasiddh aahe, lokpriya aahe."
"91. Pradnyavaan aahe, dnyani aahe."
"92. Pravinya aahe, kaushalya aahet."
"93. Priya aahe, avadte aahe."
"94. Prem aahe, aavadte aahe."
"95. Protsahan aahe, prerana aahe."
"96. Fasavnuk aahe, dhokadayak aahe."
"97. Fayada aahe, labh aahe."
"98. Faltu aahe, bekaar aahe."
"99. Fitoor aahe, nasha aahe."
"100. Fuska aahe, faltu aahe."
"1. Bakwas aahe, avadat nahi."
"2. Bachav kara, surakshit raha."
"3. Badnaam karu naye, apman aahe."
"4. Badmaash aahe, dur raha."
"5. Bandi aahe, swatantra nahi."
"6. Bare aahe, changle aahe."
"7. Bahar jauya, maja yeil."
"8. Bahaduri aahe, shoor aahe."
"9. Bahishkar kara, dur thev."
"10. Bahumaan aahe, sanman aahe."
"11. Balkat aahe, shakti aahe."
"12. Bakshis dya, dhanyawad aahe."
"13. Bindok aahe, vait aahe."
"14. Beimaan aahe, satya bolat nahi."
"15. Bekaar aahe, faltu aahe."
"16. Beparva aahe, chinta nahi."
"17. Besharam aahe, laj nahi."
"18. Bhakaas aahe, vait aahe."
"19. Bhakti aahe, shraddha aahe."
"20. Bhayanak aahe, bhiti vatte."
"21. Bharpur aahe, pushkal aahe."
"22. Bharbharat aahe, khup aahe."
"23. Bhala aahe, changla aahe."
"24. Bhavyadivya aahe, sundar aahe."
"25. Bhaardar aahe, jababdari aahe."
"26. Bhav aahe, kimmat aahe."
"27. Bhavgeet aahe, sangeet aahe."
"28. Bhavand aahe, natलग aahe."
"29. Bhavnatmak aahe, prem aahe."
"30. Bhavik aahe, pudhche aahe."
"31. Bhavi aahe, yet aahe."
"32. Bhashan aahe, bolne aahe."
"33. Bhasha aahe, marathi aahe."
"34. Bhashantar aahe, anuvad aahe."
"35. Bhas aahe, bolne aahe."
"36. Bhaskar aahe, surya aahe."
"37. Bhikari aahe, garib aahe."
"38. Bhingri aahe, machhi aahe."
"39. Bhidu aahe, mitr aahe."
"40. Bhint aahe, chinha aahe."
"41. Bhittichitr aahe, chitrakala aahe."
"42. Bhitra aahe, aat aahe."
"43. Bhinn aahe, vegla aahe."
"44. Bhiksha aahe, magni aahe."
"45. Bhiksharthi aahe, garib aahe."
"46. Bhik magito, madat kar."
"47. Bhid aahe, goshta aahe."
"48. Bhiti vatte, ghabrat aahe."
"49. Bhishan aahe, bhayankar aahe."
"50. Bhukela aahe, jevan de."
"51. Bhuga aahe, bhumika aahe."
"52. Bhunga aahe, ghar aahe."
"53. Bhuj aahe, haat aahe."
"54. Bhunbhun aahe, avaaj aahe."
"55. Bhut aahe, bhiti vatte."
"56. Bhuthatki aahe, maja aahe."
"57. Bhuyar aahe, donhi aahe."
"58. Bhurta aahe, jevan aahe."
"59. Bhural aahe, rang aahe."
"60. Bhuvan aahe, jag aahe."
"61. Bhuvai aahe, jamin aahe."
"62. Bhu aahe, jamin aahe."
"63. Bhuk aahe, jevan pahije."
"64. Bhukamp aahe, dharti halte."
"65. Bhukampshastra aahe, vidya aahe."
"66. Bhugarbh aahe, aat aahe."
"67. Bhugol aahe, vidya aahe."
"68. Bhuchal aahe, dharti halte."
"69. Bhuchar aahe, bhiti vatte."
"70. Bhutkatha aahe, goshta aahe."
"71. Bhutkal aahe, magche aahe."
"72. Bhutdaya aahe, daya aahe."
"73. Bhudal aahe, jamin aahe."
"74. Bhupati aahe, raja aahe."
"75. Bhubhag aahe, kshetra aahe."
"76. Bhumapan aahe, nakasha aahe."
"77. Bhumika aahe, kaam aahe."
"78. Bhumiti aahe, ganit aahe."
"79. Bhumi aahe, jamin aahe."
"80. Bhul aahe, chuk aahe."
"81. Bhushan aahe, daagina aahe."
"82. Bhekad aahe, praani aahe."
"83. Bheg aahe, bhet aahe."
"84. Bhet aahe, milne aahe."
"85. Bhetvastu aahe, bhet aahe."
"86. Bhendi aahe, bhaji aahe."
"87. Bhed aahe, gupt aahe."
"88. Bhedbhav karu naye, vait aahe."
"89. Bhesal aahe, kapde aahet."
"90. Bhel aahe, jevan aahe."
"91. Bhog aahe, anubhav aahe."
"92. Bhojan aahe, jevan aahe."
"93. Bhojnalay aahe, hotel aahe."
"94. Bhopla aahe, avaaj aahe."
"95. Bhrm aahe, chuk aahe."
"96. Bhrashtachar aahe, vait aahe."
"97. Bhrunhatya aahe, paap aahe."
"98. Mau aahe, prem aahe."
"99. Makarand aahe, madh aahe."
"100. Magar aahe, pudhe nahi."
"1. Ya kathin paristhitit, dhairya theva."
2. Tumcha atulniya parakram dakhavla.
"3. Ya andharat, jyoti disli."
"4. Tumche abhinandan kartoy, khup changla kaam kela."
"5. Yashasvi vhava, sarvottam rahaa."
6. Ya vishayavar adhik mahiti dya.
"7. Apli jaga, apli jamin surakshit thevuya."
"8. Nivin shikshan paddhati, pragat aahe."
"9. Ya krur ghatane ne, sarv ghabrat aahet."
10. Changlya gunancha vikas kara.
"11. God sanधी milali, labh ghya."
"12. Ghor gondhal zhala, chinta vatte."
13. Gaurav aahe tumchya kaamacha.
14. Chamatkar pahaycha aahe ka? Ikade yaa.
"15. Chinta karu naye, samasya suteel."
"16. Jungle madhye, jivant rahne kathin aahe."
"17. Jeet tumchi aahe, utsaha theva."
"18. Jamin vapar, yogya rite kara."
"19. Jalpralayala, sarv ghabrat aahet."
"20. Jawan aahat, himmat aahe."
"21. Jindagi anmol aahe, jagrut raha."
"22. Jiv ghena, paap aahe."
"23. Josh aahe, kaam purn hoil."
"24. Zagmag aahe, utsav aahe."
"25. Zal zal, pashchattap karu nka."
"26. Zunj aahe, ladha aahe."
"27. Takkar honar, savdhan raha."
"28. Tantani aahe, pareshani aahe."
"29. Tingal aahe, vel aahe."
"30. Tumdaar aahe, garva nahi karaycha."
"31. Tekdi var, disayla sundar aahe."
"32. Tham, aaram kar."
"33. Thik aahe, chukichi nahi."
"34. Dhabdaar aahe, motha aahe."
"35. Taktaki aahe, veg aahe."
"36. Tajeldaar aahe, spasht aahe."
"37. Tatastha raha, bhedbhav karu naye."
"38. Tanta karu naye, gondhal hoil."
"39. Tandurust raha, vyayam kar."
"40. Tayar raha, vel aahe."
"41. Tarbez ghe, shik."
"42. Tallakh aahe, abhyas kar."
"43. Taltalat aahe, dukha aahe."
"44. Takadwan aahe, shakti aahe."
"45. Taala lav, surakshit raha."
"46. Tiraskar karu naye, vait vatte."
"47. Trupt raha, santushti aahe."
"48. Tejaswi aahe, chamakdar aahe."
"49. Tok aahe, kami aahe."
"50. Todga kar, himmat dakhav."
